,Abs. Location,Category,Color,Entry-Level,Identifier,Image Number,Other,Referring Expression,Rel. Location,Rel. Object,Size,Testset,prev_file,same,file,region,ref_a1,ref_a2,ref_a3,ref_h_a2,ref_h_a3,ref_h_nouns,ref_gentype
1452,,chair,,chair,537fb7bad31907d16d000b0b,9517_10.jpg,,chair under plaid shirt guy,prep_under,guy,,A,9507_3.jpg,False,9517,10,bottom left,person on left corner,person in white thing on left,bench or head on left corner,bench or head in white thing on left,bench:head,a2
1455,,train,,train,537fc2b6d31907d16d0017ca,9536_3.jpg,,train,,,,A,9517_10.jpg,False,9536,3,bottom right,orange thing on right,green in red thing on right,bus or balcony thing on right,green in red thing on right,bus:balcony,a1
1458,,bottle,,bottle,537fae7cd31907d16d0000e5,9540_7.jpg,,left closest bottle,,,,A,9536_3.jpg,False,9540,7,bottom right,person on bottom right,person in black shirt on right,bottle or table on bottom right,bottle or table in black shirt on right,bottle:table,a2
1461,,lamp,,lamp,537fae48d31907d16d0000a4,9672_4.jpg,,lamp post on right,,,,A,9540_7.jpg,False,9672,4,far right,lamp post on right,lamp post on far right side,post or pole post on right,post or pole post on far right side,post:pole,a1
1464,middle,surfboard,,surf board,53839315793954ad2d0000d0,9683_7.jpg,,middle surf board,,,,A,9672_4.jpg,False,9683,7,bottom left,sidewalk very bottom left,girl in front row far left,row or roof very bottom left,row or roof in front row far left,row:roof,a2
1467,,car,,car,537fcb5ed31907d16d001f6c,9730_4.jpg,,car,,,,A,9683_7.jpg,False,9730,4,far right,car on far right,white car on far right side,car or vehicle on far right,white car or vehicle on far right side,car:vehicle,a1
1470,right,bird,,bird,5383880affd526891400031e,9741_4.jpg,,bird on right,,,,A,9730_4.jpg,False,9741,4,on right,girl in front right,girl in front row on right,lady or girl in front right,lady or girl in front row on right,lady:girl,a1
1473,,paper,,bingo,537fb8c8d31907d16d000c3b,9754_10.jpg,,third bingo board from right on grey knee,,,,A,9741_4.jpg,False,9754,10,on right,guy in front right,guy in front tire on right,pot or box in front right,pot or box in front tire on right,pot:box,a2
1476,,dog,,dog,537fafb0d31907d16d00022d,9850_3.jpg,,the dog,,,,A,9754_10.jpg,False,9850,3,bottom left,person in front left,person in red shirt on left,dog or horse in front left,dog or horse in red shirt on left,dog:horse,a2
1479,,horse,,horse,537fcb89d31907d16d001f78,9881_8.jpg,,horse walkig out of the water,,,,A,9850_3.jpg,False,9881,8,in middle,man in front middle,man in middle guy on right,cap or face in front middle,cap or face in middle guy on right,cap:face,a2
1482,,kitchen-pot,,plate,537faf47d31907d16d0001bf,9890_7.jpg,,plate center guy is holding,,,,A,9881_8.jpg,False,9890,7,in middle,wood thing in middle,white thing on table in middle,plate or strip thing in middle,white thing on plate or strip in middle,plate:strip,a2
1485,right,chair,,chair,537fae7cd31907d16d0000e6,9896_9.jpg,,chair in background on right,,,,A,9890_7.jpg,False,9896,9,far right,man on far right,man in red shirt on right,camera or chair on far right,camera or chair in red shirt on right,camera:chair,a1
1488,middle,plant,,flower,537fe177d31907d16d00283a,9898_20.jpg,,flower middle,,,,A,9896_9.jpg,False,9898,20,in middle,palm tree in middle,kid in front tire on right,flowers or kid tree in middle,flowers or kid in front tire on right,flowers:kid,a3
1491,,eagle,,bird,537fd209d31907d16d00211e,9901_1.jpg,,bird,,,,A,9898_20.jpg,False,9901,1,top left,guy in middle sky,guy in white sky top left,bird or dude in middle sky,bird or dude in white sky top left,bird:dude,a1
1494,,mountain,,mountain,537fe2ebd31907d16d002945,9932_2.jpg,,top left montan,,,,A,9901_1.jpg,False,9932,2,top left,sky top left corner,sky upper left corner very top,hill or sky top left corner,hill or sky upper left corner very top,hill:sky,a2
1497,middle,bus,,bus,537fc252d31907d16d00175d,9996_7.jpg,,bus in middle,,,,A,9932_2.jpg,False,9996,7,on right,light bed on right,white car on right in front,chairs or bus bed on right,white chairs or bus on right in front,chairs:bus,a2
0,,cloud,,sky,537fbb73d31907d16d000f7b,10070_3.jpg,,sky,,,,B,9996_7.jpg,False,10070,3,top left,sky top left corner,sky in middle top left corner,sky or clock top left corner,sky or clock in middle top left corner,sky:clock,a1
3,left,lake,,water,537fc549d31907d16d001ae3,10072_2.jpg,,the water on the left,,,,B,10070_3.jpg,False,10072,2,far left,water on far left,water area on far left side,strip or sea on far left,strip or sea area on far left side,strip:sea,a1
6,,cloth,,shorts,537fd799d31907d16d0022c6,1009_3.jpg,,boys shorts,,,,B,10072_2.jpg,False,1009,3,very bottom,wood floor bottom left,very bottom ground in black shirt,wood or strip floor bottom left,very bottom wood or strip in black shirt,wood:strip,a1
9,,face-of-person,,face,537fc3ebd31907d16d001938,1011_3.jpg,,face,,,,B,1009_3.jpg,False,1011,3,on right,girls face on right,girl in front girls face boy,girls or persons face on right,girls or persons in front girls face boy,girls:persons,a1
12,,trees,,tree,537fc350d31907d16d001887,10363_5.jpg,,tree cluster on right,,,,B,1011_3.jpg,False,10363,5,far right,palm tree on right,tall palm tree on far right,bush or plant tree on right,tall bush or plant tree on far right,bush:plant,a1
15,,sky,,sky,537fc310d31907d16d001831,10363_6.jpg,,sky,,,,B,10363_5.jpg,False,10363,6,top left,sky top left corner,trees upper sky top left corner,statue or lamp top left corner,statue or lamp upper sky top left corner,statue:lamp,a2
18,,house,,building,537fc003d31907d16d0014bc,1049_3.jpg,,building,,,,B,10363_6.jpg,False,1049,3,on right,building on right side,big white building on right side,orange or building on right side,big white orange or building on right side,orange:building,a1
21,middle,flag,,flag,537fdbdcd31907d16d002494,1056_7.jpg,,MIDDLE FLAG,,,,B,1049_3.jpg,False,1056,7,on right,palm tree on right,palm tree on right in middle,pole or post tree on right,pole or post tree on right in middle,pole:post,a3
24,left,cloud,,cloud,537fdb51d31907d16d002455,10589_2.jpg,,left clouds,,,,B,1056_7.jpg,False,10589,2,top left,clouds on far left,clouds in white cloud on left,cloud or clouds on far left,cloud or clouds in white cloud on left,cloud:clouds,a1
27,,woman,red,woman,537fbaccd31907d16d000e9d,10600_2.jpg,angry,angry woman in red,,,,B,10589_2.jpg,False,10600,2,on right,person on far right,woman in red shirt on right,jacket or chick on far right,jacket or chick in red shirt on right,jacket:chick,a1
30,,iguana,,iguana,537fbaadd31907d16d000e79,10653_1.jpg,,iguana,,,,B,10600_2.jpg,False,10653,1,bottom right,grass on right corner,light green grass on right corner,light or smoke on right corner,light or smoke green grass on right corner,light:smoke,a1
33,,rock,,frame,537fb2aad31907d16d000553,10674_1.jpg,,of frame,,,,B,10653_1.jpg,False,10674,1,top left,sand bottom right corner,rock wall on bottom right corner,screen or sand bottom right corner,screen or sand wall on bottom right corner,screen:sand,a1
36,left,man,,guy,537fba7ed31907d16d000e3a,10721_5.jpg,,left guy,,,,B,10674_1.jpg,False,10721,5,far left,person on far left,man in red shirt on left,sweater or boy on far left,sweater or boy in red shirt on left,sweater:boy,a1
39,,bird,,bird,537fdca7d31907d16d002517,10725_1.jpg,,bird,,,,B,10721_5.jpg,False,10725,1,in front,girl in front tire,girl in front tire on left,bird or kid in front tire,bird or kid in front tire on left,bird:kid,a1
42,,group-of-persons,,people,538389faffd5268914000554,10739_2.jpg,,people,,,,B,10725_1.jpg,False,10739,2,bottom left,people on left corner,people on left person in red,men or floor on left corner,men or floor on left person in red,men:floor,a1
45,,rock,,rock,537fdc25d31907d16d0024c3,10775_3.jpg,,rocck below man,prep_below,man,,B,10739_2.jpg,False,10775,3,bottom right,tree trunk on right,rock big tree trunk on right,shrub or stone trunk on right,shrub or stone big tree trunk on right,shrub:stone,a1
48,right,house,,wall,537fbbccd31907d16d000fdd,10880_4.jpg,,wall om right,,,,B,10775_3.jpg,False,10880,4,on right,tree on right side,big rock wall on right side,house or tree on right side,big house or tree wall on right side,house:tree,a1
51,,bed,blue,bed,537fc4d8d31907d16d001a5c,1088_1.jpg,,blue bed left,,,,B,10880_4.jpg,False,1088,1,bottom left,land on left bed,woman in front tire on left,strip or bed on left bed,strip or bed in front tire on left,strip:bed,a2
54,,man,white,shirt,537fba89d31907d16d000e4a,10992_2.jpg,,white shirt,,,,B,1088_1.jpg,False,10992,2,lower right,guy on right side,guy in black shirt on right,spiders or shirt on right side,spiders or shirt in black shirt on right,spiders:shirt,a1
57,,mountain,,hill,537fbc5bd31907d16d001095,11060_4.jpg,,hills have eyes,,,,B,10992_2.jpg,False,11060,4,in middle,rocks in background mountains,big rock in background hills mountains,hills or mtn in background mountains,big hills or mtn in background hills mountains,hills:mtn,a2
60,,rock,,boat,53838870ffd526891400038d,11089_3.jpg,,boat*,,,,B,11060_4.jpg,False,11089,3,far left,bush on far left,yellow flower pot on far left,mans or sign on far left,yellow mans or sign pot on far left,mans:sign,a1
63,top,sky-blue,,sky,537fbc05d31907d16d001025,11091_1.jpg,,top sky,,,,B,11089_3.jpg,False,11091,1,very top,sky top right corner,blue sky very top right corner,sky or strip top right corner,blue sky or strip very top right corner,sky:strip,a1
66,closest,head-of-person,,face,538388b1ffd52689140003cb,11160_3.jpg,,face of girl with ponytail closest to camera,,,,B,11091_1.jpg,False,11160,3,on right,mans head on right,big rock on right in front,orange or camera head on right,big orange or camera on right in front,orange:camera,a1
69,,head-of-person,,guy,53838a77ffd5268914000615,11160_6.jpg,,guys head on left,,,,B,11160_3.jpg,False,11160,6,top left,guy in orange shirt,white shirt guy on far left,mans or head in orange shirt,white mans or head guy on far left,mans:head,a1
72,,edifice,,,5383a2ec793954ad2d000418,1117_8.jpg,,anywhere in middle,,,,B,11160_6.jpg,False,1117,8,top right,building in middle window,dark green area in white building,bldg or house in middle window,dark green bldg or house in white building,bldg:house,a2
75,,curtain,blue,curtain,537fb0d1d31907d16d000393,1118_7.jpg,,blue curtain behind right bed middle,prep_behind,middle,,B,1117_8.jpg,False,1118,7,on right,flower pot on right,dark blue curtain on right side,curtain or pole pot on right,dark blue curtain or pole on right side,curtain:pole,a1
78,,man,black,shirt,538389bdffd5268914000506,11207_6.jpg,,BLACK SHIRT,,,,B,1118_7.jpg,False,11207,6,on left,man in orange shirt,man in black shirt on left,lady or dude in orange shirt,lady or dude in black shirt on left,lady:dude,a1
81,,man,,man,537fbb05d31907d16d000eec,11221_3.jpg,,far left man,,,,B,11207_6.jpg,False,11221,3,on left,man on far left,man in red shirt on left,girls or sweater on far left,girls or sweater in red shirt on left,girls:sweater,a1
84,,man,,guy,53839930793954ad2d000247,11227_3.jpg,,far left guy,,,,B,11221_3.jpg,False,11227,3,far left,person on far left,person in black jacket on left,boy or sweater on far left,boy or sweater in black jacket on left,boy:sweater,a1
87,,woman,,woman,537fc325d31907d16d00184a,11231_5.jpg,,mtg? woman in center with glasses and black zip up,,,,B,11227_3.jpg,False,11231,5,in middle,man in middle left,man in black shirt on left,hat or man in middle left,hat or man in black shirt on left,hat:man,a1
90,,sky-light,white,space,537fc303d31907d16d001821,11254_1.jpg,,white space above heads,prep_above,head,,B,11231_5.jpg,False,11254,1,upper left,sky upper left corner,sky upper left spiders in background,sea or windows upper left corner,sea or windows upper left spiders in background,sea:windows,a1
93,,roof,,ceiling,537fdd83d31907d16d0025b8,11293_6.jpg,,ceiling,,,,B,11254_1.jpg,False,11293,6,top right,very top right corner,very top sky upper right corner,very top right corner,very top ceiling or windows upper right corner,ceiling:windows,a1
96,,wooden-furniture,,bench,537fbae6d31907d16d000ebe,11383_12.jpg,,the bench thing in the lower right hand corner,,,,B,11293_6.jpg,False,11383,12,bottom right,very bottom right corner,wall on right corner very bottom,very bottom right corner,wood or bed on right corner very bottom,wood:bed,a2
99,,hill,,mountain,537fdae0d31907d16d002429,11408_3.jpg,,mountain,,,,B,11383_12.jpg,False,11408,3,top right,rocks in background mountain,mountain in background hill upper right,hill or hills in background mountain,hill or hills in background hill upper right,hill:hills,a1
102,bottom,fabric,,corner,537fd858d31907d16d002321,11408_7.jpg,,bottom right corner,,,,B,11408_3.jpg,False,11408,7,bottom right,hat on right corner,white thing on far right corner,floor or desk on right corner,white thing on far right corner,floor:desk,a2
105,right,hat,,hat,537fb518d31907d16d0007f9,11413_8.jpg,,hat on right up front,,,,B,11408_7.jpg,False,11413,8,top right,hat on far right,guy in black hat on right,hat or mans on far right,hat or mans in black hat on right,hat:mans,a2
108,,trees,,tree,537fdd03d31907d16d002558,11415_5.jpg,,tree left,,,,B,11413_8.jpg,False,11415,5,bottom left,trees clock tower building,trees clock tower building on left,church or clock clock tower building,church or clock clock tower building on left,church:clock,a2
111,,bench,,desk,53838a22ffd5268914000591,11553_6.jpg,,desk kids are leannig on,,,,B,11415_5.jpg,False,11553,6,bottom right,floor bottom right corner,floor area on table in background,table or boat bottom right corner,table or boat area on table in background,table:boat,a2
114,,floor-carpet,,floor,537fdb90d31907d16d00246b,1155_2.jpg,,floor below bed,prep_below,bed,,B,11553_6.jpg,False,1155,2,bottom right,wood floor bottom right,wood floor area on wall bed,bed or floor floor bottom right,bed or floor floor area on wall bed,bed:floor,a1
117,,kitchen-pot,white,thing,537fc3ddd31907d16d001925,11573_9.jpg,,white thing on wooden chair,prep_on,chair,,B,1155_2.jpg,False,11573,9,bottom left,rocks on left side,rocks in white thing on left,pot or book on left side,pot or book in white thing on left,pot:book,a2
120,,man,white,shirt,537fba8ed31907d16d000e51,11575_10.jpg,,white shirt man,,,,B,11573_9.jpg,False,11575,10,on right,person on right side,man in white shirt on right,child or dude on right side,child or dude in white shirt on right,child:dude,a2
123,,building,,side,537fde66d31907d16d002647,11678_4.jpg,,building left side right of left tree,,,,B,11575_10.jpg,False,11678,4,top left,building on left side,white building on far left side,bldg or balcony on left side,white bldg or balcony on far left side,bldg:balcony,a3
126,,floor-other,,floor,53838982ffd52689140004bd,1172_5.jpg,,The floor,,,,B,11678_4.jpg,False,1172,5,bottom center,girl in front center,girl in front center bottom right,rock or horse in front center,rock or horse in front center bottom right,rock:horse,a1
129,front,kitchen-pot,,food,537fb9f1d31907d16d000d86,11737_5.jpg,,food in front left with the spoon in it,,,,B,1172_5.jpg,False,11737,5,bottom left,thing on left corner,green thing on bottom left corner,thing on left corner,green thing on bottom left corner,table:sweater,a2
132,,trees,,tree,537fbb29d31907d16d000f21,11750_3.jpg,,trees in the background,prep_in,background,,B,11737_5.jpg,False,11750,3,on left,grass on far left,green plants in background on left,hills or plants on far left,green hills or plants in background on left,hills:plants,a1
